buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2010.6.6,서울특별시,은평구,은평로
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2013.8.9,서울특별시,은평구,은평로
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로
경남아너스빌아파트,122-01414,서울특별시 은평구 갈현로11길 46 (구산동),Y,2011.2.17,서울특별시,은평구,갈현로11길
경남아너스빌아파트,122-01436,서울특별시 은평구 갈현로11길 46 (구산동),Y,2013.1.24,서울특별시,은평구,갈현로11길
펜트하우스,122-01606,서울특별시 은평구 통일로72길 31 (불광동),Y,2011.8.14,서울특별시,은평구,통일로72길
연세빌딩,122-01189,서울특별시 은평구 진흥로 143 (대조동),Y,2014.8.7,서울특별시,은평구,진흥로
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.9.24,서울특별시,은평구,갈현로29길
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.2.1,서울특별시,은평구,갈현로29길
진성빌딩,122-00256,서울특별시 은평구 응암로21가길 12 (응암동),Y,2011.3.8,서울특별시,은평구,응암로21가길
북한산래미안205동,122-03181,서울특별시 은평구 불광로2길 41 (불광동),Y,2011.9.8,서울특별시,은평구,불광로2길
인락빌딩,122-01911,서울특별시 은평구 연서로29길 8-8 (갈현동),Y,2012.1.30,서울특별시,은평구,연서로29길
수색자이상가2단지,122-02499,"서울특별시 은평구 수색로 217-1 (증산동, DMC 자이2단지내 상가 관리사무소)",Y,2016.8.7,서울특별시,은평구,수색로
불광동현대아파트,122-00220,서울특별시 은평구 불광로20길 9 (불광동),Y,2012.12.25,서울특별시,은평구,불광로20길
성보빌딩,122-03577,서울특별시 은평구 연서로 213 (갈현동),Y,2011.6.13,서울특별시,은평구,연서로
상아아파트,122-00885,서울특별시 은평구 불광천길 526 (응암동),Y,2011.10.16,서울특별시,은평구,불광천길
갈현1동주민센터,122-01621,서울특별시 은평구 갈현로 301 (갈현동),Y,2014.6.18,서울특별시,은평구,갈현로
구파발9단지(제1관리소),122-02982,서울특별시 은평구 진관3로 67 (진관동),Y,2010.11.13,서울특별시,은평구,진관3로
기린빌딩,122-00095,서울특별시 은평구 진흥로 103 (역촌동),Y,2011.4.25,서울특별시,은평구,진흥로
서울교통공사3호선불광역,122-00690,서울특별시 은평구 통일로 지하723-1 (대조동),Y,2014.8.8,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
신사씨티아파트,122-00032,서울특별시 은평구 가좌로 391 (신사동),Y,2008.5.14,서울특별시,은평구,가좌로
조경빌딩,122-00368,서울특별시 은평구 연서로9길 23 (역촌동),Y,2013.7.13,서울특별시,은평구,연서로9길
한국빌딩,122-01823,서울특별시 은평구 갈현로5길 32 (신사동),Y,2014.8.25,서울특별시,은평구,갈현로5길
북한산힐스테이트3차,122-02892,서울특별시 은평구 불광로 122-10 (불광동),Y,2014.7.8,서울특별시,은평구,불광로
북한산힐스테이트3차,122-02950,서울특별시 은평구 불광로 122-10 (불광동),Y,2012.12.9,서울특별시,은평구,불광로
한화63시티/한화생명불광동사옥,122-00291,서울특별시 은평구 통일로 742 (불광동),Y,2014.9.30,서울특별시,은평구,통일로
샤인힐,122-03345,서울특별시 은평구 통일로 855-14 (갈현동),Y,2012.4.27,서울특별시,은평구,통일로
샤인힐,122-03345,서울특별시 은평구 통일로 855-14 (갈현동),Y,2012.9.8,서울특별시,은평구,통일로
미션빌(김영신빌딩),122-01163,서울특별시 은평구 서오릉로7길 9-21 (역촌동),Y,2012.9.13,서울특별시,은평구,서오릉로7길
갈현현대아파트,122-00470,서울특별시 은평구 서오릉로21길 36 (구산동),Y,2016.7.5,서울특별시,은평구,서오릉로21길
백운빌딩,122-03053,서울특별시 은평구 연서로17길 13 (갈현동),Y,2012.2.3,서울특별시,은평구,연서로17길
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.5.8,서울특별시,은평구,응암로24길
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.6.24,서울특별시,은평구,응암로24길
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.9.30,서울특별시,은평구,응암로24길
서울교통공사6호선구산역,122-01762,서울특별시 은평구 연서로 지하 137-1 (구산동),Y,2013.3.28,서울특별시,은평구,연서로
서울교통공사3호선연신내역,122-01307,서울특별시 은평구 통일로 849 (갈현동),Y,2012.4.16,서울특별시,은평구,통일로
서울교통공사3호선연신내역,122-01307,서울특별시 은평구 통일로 849 (갈현동),Y,2012.4.16,서울특별시,은평구,통일로
쉐라톤아파트,122-00339,서울특별시 은평구 연서로43길 21 (불광동),Y,2012.9.7,서울특별시,은평구,연서로43길
수색청구아파트,122-00504,서울특별시 은평구 증산로1길 26 (수색동),Y,2008.8.16,서울특별시,은평구,증산로1길
수색청구아파트,122-00503,서울특별시 은평구 증산로1길 26 (수색동),Y,2008.7.20,서울특별시,은평구,증산로1길
수색청구아파트,122-00503,서울특별시 은평구 증산로1길 26 (수색동),Y,2008.8.2,서울특별시,은평구,증산로1길
남해그린힐아파트,122-00527,서울특별시 은평구 불광로6길 20 (불광동),Y,2013.7.28,서울특별시,은평구,불광로6길
남해그린힐아파트,122-00526,서울특별시 은평구 불광로6길 20 (불광동),Y,2012.8.31,서울특별시,은평구,불광로6길
신사신성아파트,122-00141,서울특별시 은평구 증산로15길 67-7 (신사동),Y,2010.8.22,서울특별시,은평구,증산로15길
동양빌딩,122-00483,서울특별시 은평구 가좌로7길 11 (응암동),Y,2011.12.10,서울특별시,은평구,가좌로7길
서울교통공사3호선녹번역,122-01455,서울특별시 은평구 통일로 지하 602-1 (녹번동),Y,2010.12.4,서울특별시,은평구,통일로
아뜨리에빌,122-02406,서울특별시 은평구 은평로9길 3-5 (응암동),Y,2011.4.30,서울특별시,은평구,은평로9길
서울교통공사6호선연신내역,122-00652,서울특별시 은평구 통일로 849 (갈현동),Y,2010.8.15,서울특별시,은평구,통일로
파로스빌,122-02392,서울특별시 은평구 통일로71가길 12 (대조동),Y,2012.2.28,서울특별시,은평구,통일로71가길
대조동명지타운,122-03666,서울특별시 은평구 통일로73길 3-6 (대조동),Y,2012.8.6,서울특별시,은평구,통일로73길
서북교회,122-01834,서울특별시 은평구 가좌로 305 (신사동),Y,2012.1.3,서울특별시,은평구,가좌로
은평뉴타운폭포동(1관리소),122-02811,서울특별시 은평구 진관1로 77-8 (진관동),Y,2013.4.22,서울특별시,은평구,진관1로
삼익하이빌,122-02299,서울특별시 은평구 증산로21길 38-9 (신사동),Y,2014.9.20,서울특별시,은평구,증산로21길
선진물산,122-02386,서울특별시 은평구 서오릉로 140 (대조동),Y,2011.2.10,서울특별시,은평구,서오릉로
성암교회,122-02411,서울특별시 은평구 서오릉로4길 10 (녹번동),Y,2012.7.21,서울특별시,은평구,서오릉로4길
백련산힐스테이트1차,122-03585,서울특별시 은평구 백련산로2길 19 (응암동，백련산 힐스테이트 1차),Y,2013.7.28,서울특별시,은평구,백련산로2길
불광미성아파트,122-00114,서울특별시 은평구 통일로 780 (불광동),Y,2011.1.8,서울특별시,은평구,통일로
동명빌딩,122-00275,서울특별시 은평구 응암로21길 18-1 (응암동),Y,2011.6.16,서울특별시,은평구,응암로21길
이마트은평점,122-00868,서울특별시 은평구 은평로 111 (응암동),Y,2011.2.22,서울특별시,은평구,은평로
이마트은평점,122-00872,서울특별시 은평구 은평로 111 (응암동),Y,2011.9.27,서울특별시,은평구,은평로
이마트은평점,122-00872,서울특별시 은평구 은평로 111 (응암동),Y,2013.6.7,서울특별시,은평구,은평로
이마트은평점,122-00871,서울특별시 은평구 은평로 111 (응암동),Y,2008.1.24,서울특별시,은평구,은평로
예청아파트 A동,122-01049,서울특별시 은평구 불광천길 502 (응암동),Y,2013.5.13,서울특별시,은평구,불광천길
예청아파트 A동,122-01049,서울특별시 은평구 불광천길 502 (응암동),Y,2012.12.22,서울특별시,은평구,불광천길
초우레디안아파트,122-00890,서울특별시 은평구 녹번로 29-5 (녹번동),Y,2014.7.31,서울특별시,은평구,녹번로
수색대림한숲타운아파트,122-00751,서울특별시 은평구 은평터널로 65 (수색동),Y,2011.10.4,서울특별시,은평구,은평터널로
은평뉴타운마고정2단지아파트,122-02667,서울특별시 은평구 진관2로 60  (진관동),Y,2016.7.25,서울특별시,은평구,진관2로
은평뉴타운마고정2단지아파트,122-02531,서울특별시 은평구 진관2로 60  (진관동),Y,2016.2.2,서울특별시,은평구,진관2로
은평뉴타운마고정2단지아파트,122-02531,서울특별시 은평구 진관2로 60  (진관동),Y,2016.6.21,서울특별시,은평구,진관2로
은평뉴타운마고정2단지아파트,122-02531,서울특별시 은평구 진관2로 60  (진관동),Y,2016.2.8,서울특별시,은평구,진관2로
은평뉴타운마고정2단지아파트,122-02530,서울특별시 은평구 진관2로 60  (진관동),Y,2015.10.22,서울특별시,은평구,진관2로
북한산현대홈타운,122-01338,서울특별시 은평구 불광로2길 16 (불광동),Y,2015.5.25,서울특별시,은평구,불광로2길
은평뉴타운상림마을(13단지),122-02245,서울특별시 은평구 진관4로 48-50 (진관동),Y,2010.10.27,서울특별시,은평구,진관4로
미성빌딩,122-01903,서울특별시 은평구 연서로 93-1 (구산동),Y,2011.9.15,서울특별시,은평구,연서로
퍼스트지력학원,122-01926,서울특별시 은평구 응암로 302-1 (응암동),Y,2012.8.9,서울특별시,은평구,응암로
신풍빌딩,122-01732,서울특별시 은평구 연서로 83 (역촌동),Y,2011.9.15,서울특별시,은평구,연서로
동원F&B,122-03661,서울특별시 은평구 연서로 165 (갈현동),Y,2012.6.16,서울특별시,은평구,연서로
동원F&B,122-03661,서울특별시 은평구 연서로 165 (갈현동),Y,2013.7.13,서울특별시,은평구,연서로
구산동리더스빌2차,122-03802,서울특별시 은평구 갈현로15길 27-3 (구산동),Y,2014.9.14,서울특별시,은평구,갈현로15길
은평뉴타운박석고개12단지1관리소,122-02338,서울특별시 은평구 진관1로 21-9 (진관동),Y,2014.6.23,서울특별시,은평구,진관1로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2014.11.13,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2014.12.2,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2014.12.3,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2014.1.31,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2012.12.9,서울특별시,은평구,은평로
명남 더블레스,122-02735,서울특별시 은평구 은평로 182-8 (응암동),Y,2012.12.22,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2012.12.22,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2013.11.19,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2013.11.18,서울특별시,은평구,은평로
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2011.9.2,서울특별시,은평구,은평로
은빛초등학교,122-03329,서울특별시 은평구 진관3로 73-17 (진관동),Y,2014.7.22,서울특별시,은평구,진관3로
합도산업,122-00461,서울특별시 은평구 응암로22길 22-1 (응암동),Y,2014.7.28,서울특별시,은평구,응암로22길
합도산업,122-00461,서울특별시 은평구 응암로22길 22-1 (응암동),Y,2010.12.27,서울특별시,은평구,응암로22길
녹번대림아파트,122-00233,서울특별시 은평구 통일로 590 (녹번동),Y,2011.10.26,서울특별시,은평구,통일로
영성빌딩,122-00081,서울특별시 은평구 은평터널로 138 (신사동),Y,2013.3.31,서울특별시,은평구,은평터널로
영성빌딩,122-00081,서울특별시 은평구 은평터널로 138 (신사동),Y,2011.6.28,서울특별시,은평구,은평터널로
유니온빌딩,122-00059,서울특별시 은평구 증산로 325 (증산동),Y,2013.9.21,서울특별시,은평구,증산로
은혜스카이빌,122-01417,서울특별시 은평구 불광로13가길 7-3 (불광동),Y,2011.9.14,서울특별시,은평구,불광로13가길
역촌동자유의집,122-01800,서울특별시 은평구 역말로4길 15 (역촌동),Y,2012.7.10,서울특별시,은평구,역말로4길
역촌동자유의집,122-01800,서울특별시 은평구 역말로4길 15 (역촌동),Y,2012.5.13,서울특별시,은평구,역말로4길
갤럭시타운,122-04016,서울특별시 은평구 불광로 40-9 (불광동),Y,2014.6.11,서울특별시,은평구,불광로
동호스카이아파트,122-04007,서울특별시 은평구 연서로34길 42 (불광동),Y,2014.8.29,서울특별시,은평구,연서로34길
불광동롯데캐슬,122-04054,서울특별시 은평구 불광로 64 (불광동，불광 롯데캐슬),Y,2014.7.30,서울특별시,은평구,불광로
경준빌딩(대조리치빌2),122-04041,서울특별시 은평구 통일로 745-1 (대조동),Y,2013.4.2,서울특별시,은평구,통일로
상현빌딩,122-04171,서울특별시 은평구 은평로 170 (응암동),Y,2014.8.19,서울특별시,은평구,은평로
해들목휴먼빌,122-04271,"서울특별시 은평구 갈현로4길 43-12 (역촌동84-34,35)",Y,2015.8.14,서울특별시,은평구,갈현로4길
갈현동첼라넥스빌,122-04238,"서울특별시 은평구 갈현로31길 14-8 (갈현동, 첼라넥스빌)",Y,2015.7.12,서울특별시,은평구,갈현로31길
"더클래스 101,102동",122-04404,"서울특별시 은평구 서오릉로18길 25-4 (갈현동, 더 클래스)",Y,2014.9.10,서울특별시,은평구,서오릉로18길
엘림아너스빌,122-04526,서울특별시 은평구 은평터널로 192-8 (신사동),Y,2015.9.9,서울특별시,은평구,은평터널로
대림에코빌,122-04852,서울특별시 은평구 녹번로1길 23-9  (녹번동),Y,2016.9.27,서울특별시,은평구,녹번로1길
롯데몰 은평점,122-05222,서울특별시 은평구 통일로 1050  (진관동),Y,2017.7.2,서울특별시,은평구,통일로